"x","y","group"
438.3,561.5,"case"
428.4,565.1,"case"
437.4,543.2,"case"
424.8,562.4,"case"
422.8,569.3,"case"
426.1,558.5,"case"
431,580.9,"case"
415.7,535.3,"case"
427.4,566.4,"case"
427,564.6,"case"
432.4,552.5,"case"
387.8,567.9,"case"
427.7,563.8,"case"
440.1,555,"case"
431.5,563.1,"case"
430.8,556.8,"case"
413.4,563.6,"case"
435.3,568.3,"case"
410.3,551.8,"case"
427.1,567.2,"case"
420.1,528.7,"case"
439.5,546.9,"case"
430.5,564.2,"case"
436.7,559.3,"case"
419.5,552.7,"case"
426.2,573.6,"case"
436.2,554.4,"case"
420.3,561.8,"case"
441.9,541.9,"case"
421.9,587.5,"case"
425.7,560.3,"case"
423.3,564.8,"case"
423.3,543,"case"
424.8,562.9,"case"
409.5,552.8,"case"
437.3,553.6,"case"
437.5,564.3,"case"
427.7,571.8,"case"
430.7,544.1,"case"
443.7,540.3,"case"
412.8,551.7,"case"
406.9,614.5,"case"
425.3,576.8,"case"
432.6,563,"case"
418.5,612.9,"case"
426.4,575.6,"case"
370,563.8,"case"
430.6,513.4,"case"
425.7,565.3,"case"
435.1,546.7,"case"
415.1,564.5,"case"
408.6,549.2,"case"
425.6,564.9,"case"
427.2,567.9,"case"
433.9,569.7,"case"
438.1,565.2,"case"
426.4,587.4,"case"
424.4,540.3,"case"
418.5,542.2,"case"
424.8,565,"case"
427.2,565,"case"
422.7,561.1,"case"
415.3,564.2,"case"
434.1,571.4,"case"
430.3,568,"case"
427.1,550.4,"case"
436.2,567.6,"case"
445.7,539.5,"case"
422.9,567.7,"case"
416.2,524.2,"case"
398.6,651.4,"case"
423.6,560.7,"case"
428.6,570.2,"case"
427.1,567.2,"case"
428.9,529.5,"case"
426.6,558.7,"case"
435.3,556.8,"case"
427.2,544.8,"case"
428.6,565.9,"case"
431.6,570.9,"case"
426.7,568.1,"case"
424.3,568.1,"case"
419.2,566.5,"case"
425.6,562.2,"case"
414.6,571.7,"case"
425.8,561,"case"
431.9,556.1,"case"
421.4,564.3,"case"
431.8,567.4,"case"
423.7,567.8,"case"
442.5,549.7,"case"
428.8,563.6,"case"
429.4,549.3,"case"
421.6,551,"case"
419,585,"case"
399.2,564.5,"case"
420.2,559.7,"case"
429.4,567,"case"
428.7,586.7,"case"
422.7,527.8,"case"
436.1,539.6,"case"
421.2,566.8,"case"
427.7,568.9,"case"
426.1,567.2,"case"
433.7,576.6,"case"
398.3,558.6,"case"
431,574.9,"case"
428.7,532.4,"case"
426,561.7,"case"
386,577,"case"
427.3,514.9,"case"
423.6,539.2,"case"
421.8,566.7,"case"
442.5,543.5,"case"
435.2,569.1,"case"
420.5,567.5,"case"
434.5,568.6,"case"
421.3,550.9,"case"
426.9,564.8,"case"
427.5,576.7,"case"
419.5,565.9,"case"
433.7,549.9,"case"
431.2,563.1,"case"
422.9,569.6,"case"
425.8,566.3,"case"
419.3,565.5,"case"
436.2,571.3,"case"
416,533.4,"case"
429.3,564,"case"
427.5,570.1,"case"
428.7,560,"case"
425.3,568,"case"
399.1,654.2,"case"
426.2,561.7,"case"
420,528,"case"
429.7,566.7,"case"
409.3,551.6,"case"
427.3,587.1,"case"
430.8,555.5,"case"
426.6,552,"case"
438.2,556.1,"case"
412,524.2,"case"
415.3,525.2,"case"
428.9,558.3,"case"
425.1,554.2,"case"
416,558.5,"case"
423.3,563.4,"case"
430,566.3,"case"
435.6,563.8,"case"
420.5,529,"case"
417.5,556.8,"case"
422.6,567.5,"case"
409.1,550.1,"case"
435.2,554.9,"case"
435.9,572.2,"case"
420.8,564.3,"case"
426,586.2,"case"
436.2,570.8,"case"
427.9,524.7,"case"
426.1,574.3,"case"
431,581.1,"case"
437.9,553.2,"case"
428.9,575.8,"case"
429.1,567.2,"case"
418.7,548.1,"case"
421.4,567.9,"case"
430.8,580.7,"case"
434.7,574,"case"
429.8,568,"case"
443.8,543.7,"case"
413.5,563.7,"case"
436.6,553.8,"case"
434.4,550.2,"case"
429.6,514.1,"case"
426.7,564.8,"case"
428.9,561.7,"case"
422.5,562.2,"case"
436.9,569.4,"case"
419.1,612.3,"case"
440.9,549.2,"case"
433.4,549.9,"case"
427.1,564.6,"case"
426.1,562.1,"case"
420.1,565,"case"
421.2,564.8,"case"
435.8,571.1,"case"
431.8,535.6,"case"
426,565.4,"case"
428.9,586.7,"case"
427.6,570,"case"
424.7,568.6,"case"
427.1,555.9,"case"
436.1,566.4,"case"
421.2,566.4,"case"
439.9,554.3,"case"
429.3,514.5,"case"
419.1,567.5,"case"
424.8,562.1,"case"
436.1,569.1,"case"
419.5,552.2,"case"
431.5,533.9,"case"
422.9,542.7,"case"
416.7,572.7,"case"
429,532.2,"case"
429.3,517.6,"case"
416.6,559.3,"case"
436.3,570.3,"case"
426,564.4,"case"
430.4,568.1,"case"
434.6,572,"case"
414.5,564,"case"
434.5,573.2,"case"
421.7,567.4,"case"
433.2,562.3,"case"
431.5,581.4,"case"
420,567.4,"case"
424.5,570.1,"case"
422.1,564.4,"case"
425.2,533.6,"case"
423.1,543.4,"case"
417.9,526.2,"case"
427.6,568.5,"case"
407.3,537,"case"
429.1,529.6,"case"
417.7,562.3,"case"
416.8,551.9,"case"
424.7,561.6,"case"
433.5,549.8,"case"
430.6,544,"case"
427.6,554.5,"case"
419.7,552.6,"case"
431,574.7,"case"
426.8,573.9,"case"
415.4,566.1,"case"
428.8,561,"case"
425.1,565.7,"case"
429.9,562.4,"case"
428.5,563.5,"case"
438.5,556.5,"case"
430.1,516.6,"case"
434.2,562.5,"case"
408.4,549.2,"case"
428.1,564.8,"case"
427.1,571.3,"case"
425.2,562.4,"case"
427.5,558.9,"case"
419.4,552.5,"case"
416.2,554.2,"case"
438.6,566.1,"case"
427.1,558.6,"case"
430.7,516.6,"case"
415.8,535.4,"case"
426.9,568.1,"case"
424.4,552.8,"case"
418.7,600,"case"
420.2,561.9,"case"
419.3,612.7,"case"
434.9,568.9,"case"
431,554.4,"case"
432.2,567.6,"case"
422.4,526.4,"case"
420.8,560.9,"case"
422.2,534.2,"case"
438.3,547.3,"case"
387.5,567.7,"case"
418.4,562.5,"case"
420.5,567.4,"case"
431.4,566.5,"case"
428,561.6,"case"
391.9,571.4,"case"
410.5,525.7,"case"
423.1,527.8,"case"
431.5,570.7,"case"
425.1,566.9,"case"
423,553,"case"
434.2,571.9,"case"
436.2,567.6,"case"
426.6,561.3,"case"
436.7,553.9,"case"
421,529,"case"
429,565.5,"case"
418.6,562.8,"case"
436.4,569.3,"case"
429.7,549.2,"case"
415.2,525.2,"case"
426.4,587.7,"case"
436.8,567,"case"
428.1,524.5,"case"
419.3,552.4,"case"
420.6,562.2,"case"
428.4,558.2,"case"
419.6,534.9,"case"
427,556.7,"case"
423.3,568.5,"case"
437.7,552.5,"case"
424.7,532.8,"case"
427.9,559.2,"case"
433.9,569.8,"case"
426.5,567.5,"case"
427.4,564.6,"case"
434.3,563.1,"case"
419.9,535.2,"case"
424.7,581.9,"case"
439.5,558.1,"case"
392.8,563.4,"case"
418.5,567,"case"
434.2,516.9,"case"
436.4,568.9,"case"
430.9,581.9,"case"
427.8,541.7,"case"
440.1,556.1,"case"
417.4,572.4,"case"
433.3,563.1,"case"
415.8,564.1,"case"
411.1,550.6,"case"
424.6,561.4,"case"
